Rs,u2,Tmax,Tmin,RH,pr,ETo
9.6,0.1,25.9,23.6,91.8,15.1,2.1
10.7,0.1,26.7,22.7,91.2,3.9,2.3
18.6,2.0,31.7,22.9,87.2,8.9,4.0
12.5,1.5,28.1,23.8,90.9,1.3,2.7
10.7,1.4,28.1,23.2,92.7,12.2,2.3
19.1,0.8,30.7,22.8,86.8,18.8,3.9
18.2,1.5,31.0,24.2,89.7,8.3,3.8
19.2,0.3,31.1,24.2,86.5,8.2,4.0
18.4,0.1,31.5,24.0,90.0,4.1,3.9
15.3,0.1,30.9,22.6,86.4,34.1,3.2
15.0,1.5,30.3,22.5,89.4,2.7,3.2
9.8,0.1,25.7,22.0,90.9,20.0,2.1
11.1,0.3,25.7,23.0,92.5,18.2,2.3
9.5,0.8,25.1,23.0,93.1,31.0,2.0
17.5,0.1,29.9,22.8,88.2,24.1,3.6
10.5,0.0,26.3,22.5,90.1,10.3,2.2
16.4,0.1,30.4,22.1,91.5,14.9,3.4
14.8,0.1,29.5,22.8,89.9,16.3,3.1
16.4,1.0,31.1,23.6,90.1,14.4,3.5
13.3,1.5,29.9,23.2,90.1,7.4,2.9
12.1,0.3,28.7,23.4,89.0,3.7,2.6
10.7,0.1,28.1,23.8,90.4,28.5,2.3
13.1,0.1,28.3,24.2,90.0,2.0,2.8
19.5,1.1,31.4,23.4,87.6,2.5,4.1
20.2,1.5,31.4,24.2,86.9,1.5,4.3
17.2,1.9,30.8,25.0,89.9,1.6,3.7
12.8,1.0,28.3,24.6,86.2,6.0,2.8
18.5,1.5,31.2,24.0,85.1,1.9,4.0
16.5,0.5,31.4,23.0,87.8,1.9,3.5
11.0,0.0,29.9,23.8,90.0,1.1,2.4
9.5,1.4,29.2,23.6,92.9,0.4,2.2
10.1,0.5,27.5,23.5,92.4,17.4,2.2
17.3,0.7,30.5,23.5,87.2,4.4,3.6
15.8,1.5,29.9,22.7,88.1,8.2,3.4
13.0,2.4,29.7,23.2,88.8,1.1,3.0
19.8,0.1,31.2,23.0,87.1,8.6,4.0
16.5,0.6,30.1,23.0,88.6,4.6,3.4
23.9,1.5,31.7,22.7,85.1,5.2,4.9
22.4,1.5,32.2,23.8,84.4,0.0,4.7
22.6,1.1,31.9,24.5,84.9,0.0,4.7
21.2,1.3,32.4,24.5,84.7,3.3,4.5
10.6,1.2,29.1,24.2,90.9,18.5,2.4
16.6,0.5,31.0,23.2,91.7,7.2,3.5
16.9,0.1,30.1,24.4,83.0,34.4,3.5
17.2,0.3,30.8,24.2,88.3,4.5,3.6
13.1,1.0,30.2,23.9,90.9,4.4,2.9
22.1,1.0,31.7,22.4,84.3,9.5,4.5
14.9,1.5,31.6,23.7,89.4,5.6,3.3
11.7,1.4,30.0,23.7,88.6,1.6,2.7
21.1,0.3,31.8,24.8,84.4,2.6,4.4
11.2,0.6,28.7,24.0,88.9,24.6,2.5
12.3,1.0,30.3,23.1,91.4,6.3,2.7
10.9,0.3,27.3,23.6,91.1,16.7,2.4
15.1,1.2,29.7,22.6,88.1,23.1,3.2
14.6,0.7,29.5,23.4,90.7,5.1,3.1
16.1,0.1,29.8,24.0,90.2,6.8,3.4
21.0,0.1,31.3,24.2,85.2,7.6,4.3
13.4,0.3,29.5,24.8,89.5,5.6,2.9
9.5,1.4,26.3,23.7,94.1,29.6,2.0
12.1,0.1,29.3,23.5,90.7,12.6,2.6
10.5,0.7,29.7,23.7,91.8,9.1,2.3
16.0,1.4,32.8,23.2,86.9,4.9,3.6
17.9,1.2,31.3,24.1,87.8,0.4,3.8
12.1,0.7,30.4,24.0,92.4,7.1,2.6
16.1,0.3,32.2,23.8,85.5,6.8,3.5
21.3,1.0,31.9,24.2,86.8,11.2,4.4
12.5,0.3,29.3,24.0,91.4,18.5,2.7
18.6,0.8,31.2,23.8,86.4,5.0,3.9
15.8,1.0,31.0,23.1,84.8,0.0,3.4
10.6,0.5,30.5,24.0,93.4,1.9,2.4
12.4,0.7,29.5,24.0,91.0,9.4,2.7
11.4,0.1,27.3,23.8,91.0,8.8,2.4
19.1,1.0,31.8,23.8,87.4,3.7,4.0
17.9,1.4,32.4,24.4,87.4,1.6,3.9
16.8,1.2,30.0,24.0,88.2,5.7,3.5
22.4,0.8,32.7,24.2,84.9,5.0,4.6
15.8,0.8,31.8,24.8,88.0,2.3,3.4
14.5,0.2,30.7,25.2,87.9,6.2,3.1
13.7,0.1,30.5,24.0,89.1,3.7,2.9
18.4,0.7,32.2,24.6,86.2,6.8,3.9
14.2,0.6,29.9,25.2,87.1,8.5,3.1
12.4,0.6,27.7,24.0,88.9,30.0,2.6
18.0,0.5,32.4,23.9,87.5,20.4,3.8
14.5,0.5,30.8,24.2,88.9,13.8,3.1
13.3,0.1,30.1,23.7,89.7,16.0,2.8
16.7,0.8,31.8,23.7,90.8,19.5,3.5
20.5,1.0,31.9,24.5,85.9,1.9,4.3
16.5,1.0,30.7,25.0,88.2,2.0,3.5
