Date,open,high,low,close,AVG
2017-04-12,1.2488,1.2548,1.2479,1.2488,1.2500749999999998
2017-04-13,1.2547,1.2571,1.2499,1.2547,1.2541
2017-04-14,1.2503,1.2533,1.2499,1.2502,1.250925
2017-04-16,1.2533,1.2533,1.2524,1.2533,1.253075
2017-04-17,1.2534,1.2593,1.2529,1.2534,1.25475
2017-04-18,1.2555,1.2899,1.2519,1.2555,1.2632
2017-04-19,1.2842,1.2856,1.2768,1.2842,1.2827
2017-04-20,1.278,1.2844,1.2771,1.278,1.279375
2017-04-21,1.2799,1.2832,1.2758,1.2799,1.2797
2017-04-23,1.2827,1.2827,1.2806,1.2827,1.2821749999999998
2017-04-24,1.2822,1.283,1.2772,1.2822,1.28115
2017-04-25,1.2776,1.2842,1.2774,1.2776,1.2792000000000001
2017-04-26,1.2831,1.286,1.2804,1.2831,1.28315
2017-04-27,1.2846,1.2913,1.2841,1.2846,1.2861500000000001
2017-04-28,1.2891,1.2963,1.2889,1.2891,1.2908499999999998
2017-04-30,1.2938,1.2941,1.2925,1.2938,1.2935500000000002
2017-05-01,1.2929,1.2935,1.2879,1.2929,1.2917999999999998
2017-05-02,1.2895,1.2939,1.2863,1.2895,1.2898
2017-05-03,1.2939,1.2946,1.286,1.2939,1.2921
2017-05-04,1.2871,1.2929,1.2832,1.2871,1.287575
2017-05-05,1.2924,1.298,1.2899,1.2924,1.293175
2017-05-07,1.2984,1.2984,1.2958,1.2984,1.29775
2017-05-08,1.2966,1.2983,1.2929,1.2966,1.2961
2017-05-09,1.2939,1.2957,1.2902,1.2939,1.293425
2017-05-10,1.2947,1.2985,1.2926,1.2947,1.295125
2017-05-11,1.2928,1.2946,1.285,1.2928,1.2913
2017-05-12,1.2886,1.2898,1.2843,1.2887,1.2878500000000002
2017-05-14,1.289,1.289,1.288,1.289,1.28875
2017-05-15,1.2882,1.2938,1.288,1.2882,1.28955
2017-05-16,1.29,1.2944,1.2867,1.29,1.290275
2017-05-17,1.2915,1.2983,1.2905,1.2915,1.29295
2017-05-18,1.2968,1.3045,1.289,1.2968,1.296775
2017-05-19,1.2953,1.3038,1.294,1.2953,1.2971
2017-05-21,1.3017,1.3023,1.3006,1.3017,1.3015750000000001
2017-05-22,1.3008,1.3038,1.2964,1.3008,1.30045
2017-05-23,1.299,1.3029,1.2954,1.299,1.299075
2017-05-24,1.2955,1.2996,1.2926,1.2955,1.2958
2017-05-25,1.2976,1.3008,1.2926,1.2976,1.29715
2017-05-26,1.2929,1.2929,1.2774,1.2928,1.2890000000000001
2017-05-28,1.2809,1.2815,1.2808,1.2809,1.281025
2017-05-29,1.2812,1.2848,1.2808,1.2812,1.282
2017-05-30,1.2813,1.2885,1.279,1.2813,1.2825250000000001
2017-05-31,1.2807,1.2915,1.2772,1.2807,1.282525
2017-06-01,1.2874,1.2913,1.2831,1.2874,1.2873
2017-06-02,1.2885,1.2902,1.2844,1.2885,1.2879
2017-06-04,1.2867,1.2875,1.2863,1.2867,1.2868
2017-06-05,1.2866,1.2937,1.286,1.2866,1.2882250000000002
2017-06-06,1.2904,1.2946,1.2871,1.2904,1.290625
2017-06-07,1.2905,1.2965,1.2886,1.2905,1.291525
2017-06-08,1.2961,1.2974,1.2705,1.2961,1.290025
2017-06-09,1.2723,1.2801,1.2634,1.2723,1.272025
2017-06-11,1.2731,1.2742,1.2728,1.2731,1.2732999999999999
2017-06-12,1.2741,1.2766,1.2637,1.2741,1.272125
2017-06-13,1.2668,1.2755,1.2642,1.2668,1.268325
2017-06-14,1.2746,1.2814,1.2722,1.2746,1.2757
2017-06-15,1.2752,1.2792,1.269,1.2752,1.2746499999999998
2017-06-16,1.2756,1.2803,1.2756,1.2758,1.276825
2017-06-18,1.2762,1.2777,1.276,1.2762,1.276525
2017-06-19,1.2773,1.281,1.2724,1.2773,1.2770000000000001
2017-06-20,1.2729,1.2753,1.2604,1.2729,1.270375
2017-06-21,1.263,1.2706,1.2588,1.263,1.26385
2017-06-22,1.2673,1.2689,1.2653,1.2673,1.2672
2017-06-23,1.2676,1.2741,1.2674,1.2676,1.2691750000000002
2017-06-25,1.274,1.2742,1.2735,1.274,1.273925
2017-06-26,1.2743,1.2756,1.2705,1.2743,1.2736750000000001
2017-06-27,1.2722,1.2857,1.2715,1.2722,1.2753999999999999
2017-06-28,1.2811,1.2967,1.2793,1.2811,1.2845499999999999
2017-06-29,1.2938,1.3012,1.2937,1.2938,1.295625
2017-06-30,1.3009,1.3028,1.2946,1.3007,1.29975
2017-07-02,1.3017,1.3022,1.3011,1.3017,1.301675
2017-07-03,1.3014,1.3019,1.2931,1.3014,1.29945
2017-07-04,1.2946,1.2956,1.2914,1.2946,1.2940500000000001
2017-07-05,1.2934,1.2946,1.2894,1.2934,1.2927
2017-07-06,1.2929,1.2974,1.2919,1.2929,1.2937750000000001
2017-07-07,1.2968,1.2973,1.2865,1.2967,1.294325
2017-07-09,1.2885,1.2889,1.2883,1.2885,1.2885499999999999
